,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score
51,2008-09-17,11056.58,11057.31,10595.9,10609.66,10609.66,463200000.0,-0.04063289513899071,-3.4039071340391622
59,2008-09-29,11139.62,11139.94,10365.45,10365.45,10365.45,385940000.0,-0.0697900859094347,-3.4382807722834627
62,2008-10-02,10825.54,10825.54,10439.52,10482.85,10482.85,395330000.0,-0.03215010151351616,-2.553240911474596
63,2008-10-03,10483.96,10796.26,10310.25,10325.38,10325.38,299690000.0,-0.015021678264975802,-2.7504290103821813
64,2008-10-06,10322.52,10322.76,9525.32,9955.5,9955.5,391460000.0,-0.03582241041007683,-3.3133700497215477
65,2008-10-07,9955.42,10124.03,9436.67,9447.11,9447.11,362520000.0,-0.05106624478931243,-3.8070171954253405
66,2008-10-08,9437.23,9628.07,9194.78,9258.1,9258.1,479270000.0,-0.020007176797983695,-3.566405398218069
67,2008-10-09,9261.69,9448.14,8579.19,8579.19,8579.19,436740000.0,-0.07333146109892952,-3.935105899051474
68,2008-10-10,8568.67,8901.28,7882.51,8451.19,8451.19,674920000.0,-0.014919823433214519,-3.5158642663228776
71,2008-10-15,9301.91,9308.76,8530.12,8577.91,8577.91,374350000.0,-0.07873276633311821,-2.6932165130580197
159,2009-02-23,7365.99,7441.02,7105.94,7114.78,7114.78,406150000.0,-0.03406207446165799,-2.7135798901966073
164,2009-03-02,7056.48,7058.95,6755.17,6763.29,6763.29,568670000.0,-0.04242431965204252,-2.570992169910058
264,2009-07-23,8882.31,9096.72,8866.44,9069.29,9069.29,274760000.0,0.021171545478907428,2.519775460143951
399,2010-02-04,10273.12,10273.12,9998.03,10002.18,10002.18,304240000.0,-0.02613005145780889,-2.519922051775145
401,2010-02-08,10005.43,10028.56,9904.09,9908.39,9908.39,216270000.0,-0.010371315880677967,-2.6464225942018227
472,2010-05-20,10440.21,10440.21,10065.36,10068.01,10068.01,360350000.0,-0.036034724928358575,-3.309434944993227
473,2010-05-21,10063.93,10198.53,9918.82,10193.39,10193.39,438220000.0,0.012453305072203769,-2.595616487338337
474,2010-05-24,10193.46,10196.41,10052.67,10066.57,10066.57,211430000.0,-0.012441395845739223,-2.840292748926397
475,2010-05-25,10061.43,10061.66,9774.48,10043.75,10043.75,316960000.0,-0.0022669091855517243,-2.6863620776519563
476,2010-05-26,10045.11,10179.03,9952.68,9974.45,9974.45,316080000.0,-0.006899813316739167,-2.6797929652264987
777,2011-08-04,11893.86,11893.94,11372.14,11383.68,11383.68,300760000.0,-0.0431019700011096,-3.209704503054628
778,2011-08-05,11383.98,11555.41,11139.0,11444.61,11444.61,406310000.0,0.0053523992241524265,-2.70637458644651
779,2011-08-08,11433.93,11434.09,10809.85,10809.85,10809.85,479980000.0,-0.05546366368098177,-3.9325932493818123
780,2011-08-09,10810.91,11244.01,10604.07,11239.77,11239.77,431410000.0,0.03977113465959281,-2.508222414151826
781,2011-08-10,11228.0,11228.0,10686.49,10719.94,10719.94,396300000.0,-0.04624916702032156,-3.3387295224180713
836,2011-10-27,11872.07,12284.31,11872.07,12208.55,12208.55,251640000.0,0.028604672323962133,2.813063208219068
837,2011-10-28,12207.34,12251.92,12164.24,12231.11,12231.11,163620000.0,0.0018478852935033263,2.6329856980875728
975,2012-05-17,12598.32,12611.42,12440.52,12442.49,12442.49,147430000.0,-0.012387139789896362,-2.9344751699666642
976,2012-05-18,12443.02,12492.97,12336.76,12369.38,12369.38,240720000.0,-0.005875833534927488,-3.0103270092722183
985,2012-06-01,12391.56,12391.63,12107.48,12118.57,12118.57,162940000.0,-0.022179457697412808,-2.6453435474314313
1099,2012-11-14,12746.54,12797.73,12542.68,12570.95,12570.95,162180000.0,-0.014520804817743205,-2.7597137508438023
1100,2012-11-15,12571.1,12600.59,12496.56,12542.38,12542.38,129150000.0,-0.0022727001539264435,-2.660509625049385
1404,2014-02-03,15697.69,15708.54,15356.17,15372.8,15372.8,151050000.0,-0.02076903722247181,-2.6874776415613857
1531,2014-08-05,16559.97,16559.97,16369.55,16429.47,16429.47,76630000.0,-0.008437904362772364,-2.5315816594055254
1533,2014-08-07,16448.29,16504.35,16333.78,16368.27,16368.27,80430000.0,-0.004565374187969096,-2.6389762427109087
