,0
0,chapo
1,attack
2,democracy
3,security
4,outbreak
5,military
6,shanghai
7,iran
8,deal
9,facebook
10,deports
11,isis
12,campaign
13,reports
14,stock
15,crash
16,resigns
17,currency
18,muslim
19,iraq
20,missile
21,strikes
22,costs
23,sale
24,street
25,dropped
26,saudi
27,judges
28,rise
29,south
30,diplomat
31,falls
32,twitter
33,greek
34,minister
35,price
36,gates
37,china
38,down
39,miss
40,plunge
41,ranking
42,mexico
43,fined
44,canadian
45,unconstitutional
46,cartoon
47,uses
48,worl
49,wind
50,power
51,obama
52,syria
53,arrest
54,bailouts
55,near
56,sell
57,punched
58,saudis
59,women
60,decreasing
61,chinese
62,dollar
63,assaults
64,parts
65,western
66,crude
67,africa
68,hoarding
69,crisis
70,tumble
71,wall
72,deutsche
73,yemen
74,food
75,rising
76,putin
77,icelandic
78,politwoops
79,insurance
80,fears
81,value
82,pilgr
83,drop
84,orders
85,sexual
86,destroys
87,islamic
88,asteroid
89,bailout
90,dead
91,kenyan
92,lego
93,weapons
94,conflict
95,market
96,drug
97,invest
98,court
99,seize
100,refs
101,debt
102,fall
103,kill
104,legalize
105,bill
106,bank
107,embassy
108,israel
109,ebola
110,test
111,running
112,nuclear
113,opens
114,afghan
115,kills
116,ftse
117,case
118,bans
119,sailors
120,oceans
121,superpower
