,0
0,bans
1,crash
2,africa
3,gates
4,plunge
5,deal
6,fined
7,muslim
8,arrest
9,obama
10,military
11,saudi
12,miss
13,food
14,weapons
15,twitter
16,near
17,seize
18,worl
19,afghan
20,ranking
21,wall
22,oceans
23,test
24,sailors
25,politwoops
26,saudis
27,market
28,resigns
29,lego
30,drop
31,power
32,legalize
33,dropped
34,running
35,falls
36,parts
37,drug
38,unconstitutional
39,strikes
40,street
41,diplomat
42,syria
43,price
44,kills
45,tumble
46,conflict
47,case
48,kenyan
49,punched
50,dollar
51,campaign
52,iraq
53,ftse
54,china
55,israel
56,attack
57,decreasing
58,kill
59,judges
60,missile
61,yemen
62,iran
63,deutsche
64,costs
65,fears
66,destroys
67,cartoon
68,wind
69,women
70,ebola
71,debt
72,value
73,mexico
74,chapo
75,superpower
76,security
77,reports
78,bailout
79,bank
80,facebook
81,minister
82,south
83,bailouts
84,nuclear
85,refs
86,stock
87,fall
88,western
89,insurance
90,canadian
91,crisis
92,shanghai
93,assaults
94,sell
95,rise
96,chinese
97,putin
98,down
99,greek
100,crude
101,currency
102,invest
103,hoarding
104,court
105,pilgr
106,sale
107,deports
108,icelandic
109,rising
110,uses
111,islamic
112,democracy
113,orders
114,bill
115,embassy
116,opens
117,asteroid
118,sexual
119,isis
120,outbreak
121,dead
