,Date,Open,High,Low,Close*,Adj Close**,Volume,percentage,z-score,Label,significance,sentiment,30_SMA,50_SMA,200_SMA,EMA,Upper Bollinger Band,Lower Bollinger Band,stoch_k,stoch_d,Gain,Loss,AVG_Gain,AVG_Loss,RS,RSI,obv,VAO,Positive,VolumePositive
0,2008-09-17,11056.58,11057.31,10595.9,10609.66,10609.66,463200000.0,-0.0406328951389907,-3.4039071340391622,0.0,1.0,-1.1666666666666667,10609.66,10609.66,10609.66,,,,,,,,,,,,0.0,-100488923999.99986,False,False
1,2008-09-18,10609.01,11076.44,10459.44,11019.69,11019.69,488060000.0,0.0386468557899122,-1.5646335658769457,1.0,1.0,-0.4,10814.675,10814.675,10814.675,,,,,,410.03000000000065,0.0,,,,,488060000.0,122869105000.0,True,True
2,2008-09-19,11027.51,11483.05,11026.7,11388.44,11388.44,655110000.0,0.0334628288091589,0.011810094439168,1.0,2.0,-0.8571428571428571,11005.93,11005.93,11005.93,,,,,,368.75,0.0,,,,,1143170000.0,87499767150.00034,True,True
3,2008-09-22,11394.42,11394.58,10992.2,11015.69,11015.69,213210000.0,-0.0327305583556659,-1.5492443560673954,0.0,2.0,-1.2,11008.37,11008.37,11008.37,,,,,,0.0,372.75,,,,,929960000.0,-37887416999.99977,False,False
4,2008-09-23,11015.69,11143.21,10833.94,10854.17,10854.17,204480000.0,-0.0146627219901794,-2.108707124133071,0.0,3.0,-1.5714285714285714,10977.53,10977.53,10977.53,,,,,,0.0,161.52000000000044,,,,,725480000.0,-27483134400.000134,False,False
5,2008-09-24,10850.02,10928.4,10753.57,10825.17,10825.17,183630000.0,-0.0026717842082812,-2.128798727994114,0.0,4.0,-0.2,10952.136666666667,10952.136666666667,10952.136666666667,,,,,,0.0,29.0,,,,,541850000.0,-2904108450.0000935,False,False
6,2008-09-25,10827.17,11129.19,10827.01,11022.06,11022.06,218530000.0,0.0181881670218573,-1.3534778223980737,1.0,2.0,-0.5,10962.125714285716,10962.125714285716,10962.125714285716,,,,,,196.88999999999942,0.0,,,,,760380000.0,9606578799.99981,True,True
7,2008-09-26,11019.04,11168.06,10868.82,11143.13,11143.13,232560000.0,0.0109843350517053,-0.9117466495459488,1.0,1.0,-1.4285714285714286,10984.75125,10984.75125,10984.75125,,,,,,121.06999999999971,0.0,,,,,992940000.0,28997906400.00012,True,True
8,2008-09-29,11139.62,11139.94,10365.45,10365.45,10365.45,385940000.0,-0.0697900859094347,-3.4382807722834627,0.0,3.0,-0.3333333333333333,10915.94,10915.94,10915.94,,,,,,0.0,777.6799999999985,,,,,607000000.0,-149453335299.9996,False,False
9,2008-09-30,10371.58,10868.9,10371.42,10850.66,10850.66,319770000.0,0.0468103169664606,-1.6686560838271012,1.0,2.0,0.3333333333333333,10909.412,10909.412,10909.412,,,,,,485.2099999999991,0.0,,,,,926770000.0,73706985000.0,True,True
10,2008-10-01,10847.4,10882.52,10631.95,10831.07,10831.07,256670000.0,-0.0018054201311257,-1.6492421599735654,0.0,3.0,-0.6,10902.29,10902.29,10902.29,,,,,,0.0,19.590000000000146,,,,,670100000.0,18951229449.999775,True,False
11,2008-10-02,10825.54,10825.54,10439.52,10482.85,10482.85,395330000.0,-0.0321501015135161,-2.553240911474596,0.0,1.0,-0.4,10867.336666666668,10867.336666666668,10867.336666666668,,,,,,0.0,348.21999999999935,,,,,274770000.0,-59172994400.000114,False,False
12,2008-10-03,10483.96,10796.26,10310.25,10325.38,10325.38,299690000.0,-0.0150216782649758,-2.7504290103821813,0.0,5.0,-1.0,10825.647692307693,10825.647692307693,10825.647692307693,,,,,,0.0,157.47000000000116,,,,,-24920000.0,-68291858750.00054,False,False
13,2008-10-06,10322.52,10322.76,9525.32,9955.5,9955.5,391460000.0,-0.0358224104100768,-3.313370049721548,0.0,3.0,0.4,10763.494285714287,10763.494285714287,10763.494285714287,,,,,,0.0,369.8799999999992,,,,,-416380000.0,12315331599.999659,True,False
14,2008-10-07,9955.42,10124.03,9436.67,9447.11,9447.11,362520000.0,-0.0510662447893124,-3.807017195425341,0.0,1.0,0.1666666666666666,10675.735333333334,10675.735333333334,10675.735333333334,,,,,,0.0,508.3899999999994,,,,,-778900000.0,-120806164799.99992,False,False
15,2008-10-08,9437.23,9628.07,9194.78,9258.1,9258.1,479270000.0,-0.0200071767979836,-3.566405398218069,0.0,3.0,-0.7777777777777778,10587.133125,10587.133125,10587.133125,,,,,,0.0,189.01000000000022,,,,,-1258170000.0,-73484072749.99948,False,False
16,2008-10-09,9261.69,9448.14,8579.19,8579.19,8579.19,436740000.0,-0.0733314610989295,-3.935105899051474,0.0,2.0,-1.4444444444444444,10469.018823529412,10469.018823529412,10469.018823529412,,,,,,0.0,678.9099999999999,,,,,-1694910000.0,-189752611500.00015,False,False
17,2008-10-10,8568.67,8901.28,7882.51,8451.19,8451.19,674920000.0,-0.0149198234332145,-3.5158642663228776,0.0,0.0,-0.125,10356.917222222222,10356.917222222222,10356.917222222222,,,,,,0.0,128.0,,,,,-2369830000.0,40019381400.000046,True,False
18,2008-10-13,8462.42,9427.99,8462.18,9387.61,9387.61,399290000.0,0.1108033306552094,-2.113080489810209,1.0,1.0,-1.6,10305.901052631578,10305.901052631578,10305.901052631578,,,,,,936.4200000000001,0.0,,,,,-1970540000.0,176695807250.00058,True,True
19,2008-10-14,9388.97,9794.37,9085.43,9310.99,9310.99,412740000.0,-0.0081618218055501,-2.0699748073590256,0.0,1.0,-1.3333333333333333,10256.1555,10256.1555,10256.1555,,,,,,0.0,76.6200000000008,,,,,-2383280000.0,-53206313400.000694,False,False
20,2008-10-15,9301.91,9308.76,8530.12,8577.91,8577.91,374350000.0,-0.0787327663331182,-2.69321651305802,0.0,1.0,0.1666666666666666,10176.239047619047,10176.239047619047,10176.239047619047,,,,,,0.0,733.0799999999999,,,,,-2757630000.0,-127851755500.00024,False,False
21,2008-10-16,8577.04,9013.27,8197.67,8979.26,8979.26,422450000.0,0.0467887865459069,-2.0904499915144616,1.0,2.0,0.0,10121.83090909091,10121.83090909091,10121.83090909091,,,,,,401.35000000000036,0.0,,,,,-2335180000.0,157907585499.9996,True,True
22,2008-10-17,8975.35,9281.12,8718.25,8852.22,8852.22,360600000.0,-0.0141481592024288,-2.087356837022207,0.0,2.0,0.0,10066.630434782608,10066.630434782608,10066.630434782608,,,,,,0.0,127.04000000000087,,,,,-2695780000.0,-53175879000.00071,False,False
23,2008-10-20,8852.3,9266.63,8852.22,9265.43,9265.43,241400000.0,0.0466786862504549,-1.5766703759000154,1.0,1.0,0.0,10033.247083333334,10033.247083333334,10033.247083333334,,,,,,413.21000000000095,0.0,,,,,-2454380000.0,49729607000.000244,True,True
24,2008-10-21,9262.8,9284.55,9004.27,9033.66,9033.66,231160000.0,-0.0250144893437218,-1.7221826588090496,0.0,3.0,0.0,9993.2636,9993.2636,9993.2636,,,,,,0.0,231.77000000000044,,,,,-2685540000.0,-25600970000.0,False,False
25,2008-10-22,9027.84,9027.84,8335.3,8519.21,8519.21,348840000.0,-0.0569481251231506,-2.0990614175269946,0.0,3.0,0.0,9936.56923076923,9936.56923076923,9936.56923076923,,,,,,0.0,514.4500000000007,,,,,-3034380000.0,-56637662400.000206,False,False
26,2008-10-23,8519.77,8795.99,8243.55,8691.25,8691.25,340740000.0,0.020194360744717,-1.8316804742263053,1.0,2.0,0.0,9890.446296296295,9890.446296296295,9890.446296296295,,,,,,172.04000000000087,0.0,,,,,-2693640000.0,58430095199.999855,True,True
27,2008-10-24,8683.21,8683.21,8187.48,8378.95,8378.95,335680000.0,-0.0359326909247805,-2.0016364676738427,0.0,1.0,0.0,9836.464285714286,9836.464285714286,9836.464285714286,,,,,,0.0,312.2999999999993,,,,,-3029320000.0,-18930673599.999535,False,False
28,2008-10-27,8375.92,8599.1,8143.59,8175.77,8175.77,281180000.0,-0.0242488617308851,-2.053056117516031,0.0,3.0,0.0,9779.198965517242,9779.198965517242,9779.198965517242,,,,,,0.0,203.1800000000003,,,,,-3310500000.0,-54991778500.000206,False,False
29,2008-10-28,8178.72,9082.08,8174.73,9065.12,9065.12,372160000.0,0.1087787449989421,-1.2179742645676217,1.0,1.0,0.0,9755.396333333334,9755.396333333334,9755.396333333334,,,,,,889.3500000000004,0.0,,,,,-2938340000.0,162527854400.00073,True,True
30,2008-10-29,9062.33,9363.32,8890.29,8990.96,8990.96,316230000.0,-0.008180807314189,-1.233033583492408,0.0,3.0,0.0,9701.439666666667,9730.737096774194,9730.737096774194,,,,,,0.0,74.16000000000167,,,,,-3254570000.0,-42958264350.00037,False,False
31,2008-10-30,9004.66,9266.47,8976.87,9180.69,9180.69,267210000.0,0.0211023072063496,-1.0266655517264471,1.0,1.0,0.0,9640.139666666666,9713.548125,9713.548125,,,,,,189.73000000000138,0.0,,,,,-2987360000.0,15770734200.000116,True,True
32,2008-10-31,9179.09,9454.36,9119.2,9325.01,9325.01,310950000.0,0.015719951332634,-0.8666289131120354,1.0,1.0,0.0,9571.358666666667,9701.774242424242,9701.774242424242,,,,,,144.3199999999997,0.0,,,,,-2676410000.0,11887618499.999865,True,True
33,2008-11-03,9326.04,9410.55,9255.48,9319.83,9319.83,180970000.0,-0.0005554953828468,-0.8378041504115765,0.0,2.0,0.0,9514.83,9690.540588235293,9690.540588235293,,,,,,0.0,5.180000000000291,,,,,-2857380000.0,-2386089449.999908,False,False
34,2008-11-04,9323.89,9653.95,9323.89,9625.28,9625.28,254930000.0,0.0327742029629296,-0.5440058494463865,1.0,1.0,0.0,9473.867,9688.676000000001,9688.676000000001,,,,,,305.4500000000007,0.0,,,,,-2602450000.0,34762254800.000145,True,True
35,2008-11-05,9616.6,9616.6,9111.47,9139.27,9139.27,264640000.0,-0.0504930765650454,-0.9362680698660374,0.0,2.0,0.0,9417.670333333333,9673.414722222222,9673.414722222222,,,,,,0.0,486.0100000000002,,,,,-2867090000.0,-59481809599.99985,False,False
36,2008-11-06,9134.01,9155.44,8637.17,8695.79,8695.79,344350000.0,-0.0485246633483855,-1.2771564770714994,0.0,3.0,0.0,9340.128,9646.992432432433,9646.992432432433,,,,,,0.0,443.47999999999956,,,,,-3211440000.0,-69047340249.9998,False,False
37,2008-11-07,8696.03,8961.57,8696.03,8943.81,8943.81,246300000.0,0.0285218479287101,-1.018592491409825,1.0,3.0,0.0,9266.817333333334,9628.487631578948,9628.487631578948,,,,,,248.01999999999862,0.0,,,,,-2965140000.0,28326963000.000053,True,True
38,2008-11-10,8946.6,9159.58,8760.46,8870.54,8870.54,221230000.0,-0.0081922581092396,-1.0435683454327247,0.0,3.0,0.0,9216.987,9609.053076923077,9609.053076923077,,,,,,0.0,73.26999999999862,,,,,-3186370000.0,-19795660399.999905,False,False
39,2008-11-11,8864.32,8867.91,8560.71,8693.96,8693.96,257270000.0,-0.0199063416657837,-1.159197080395108,0.0,3.0,0.0,9145.097000000002,9586.17575,9586.17575,,,,,,0.0,176.58000000000175,,,,,-3443640000.0,-5235444500.000093,False,False
40,2008-11-12,8684.52,8684.6,8265.29,8282.66,8282.66,314660000.0,-0.0473087062742408,-1.4686946515487411,0.0,3.0,0.0,9060.15,9554.38268292683,9554.38268292683,,,,,,0.0,411.2999999999993,,,,,-3758300000.0,-60504398099.999954,False,False
41,2008-11-13,8281.14,8876.59,7965.42,8835.25,8835.25,476600000.0,0.0667164896301431,-0.9390452515310008,1.0,2.0,0.0,9005.230000000001,9537.260476190477,9537.260476190477,,,,,,552.5900000000001,0.0,,,,,-3281700000.0,197429166999.9995,True,True
42,2008-11-14,8822.19,8923.18,8469.99,8497.31,8497.31,304370000.0,-0.0382490591664073,-1.202385739610662,0.0,4.0,0.0,8944.294333333333,9513.07558139535,9513.07558139535,,,,,,0.0,337.9400000000005,,,,,-3586070000.0,-60653331749.999886,False,False
43,2008-11-17,8494.84,8571.3,8246.89,8273.58,8273.58,278220000.0,-0.0263295089857849,-1.352011508331434,0.0,3.0,0.0,8888.230333333333,9484.905227272728,9484.905227272728,,,,,,0.0,223.72999999999956,,,,,-3864290000.0,-37702983299.99984,False,False
44,2008-11-18,8273.34,8477.95,8105.44,8424.75,8424.75,366390000.0,0.018271413342229,-1.1702211431127083,1.0,3.0,0.0,8854.151666666667,9461.346222222222,9461.346222222222,,,,,,151.17000000000007,0.0,,,,,-3497900000.0,48750021450.00011,True,True
45,2008-11-19,8420.69,8504.64,7987.08,7997.28,7997.28,350470000.0,-0.0507397845633401,-1.506779641112307,0.0,3.0,0.0,8812.124333333333,9429.518695652174,9429.518695652174,,,,,,0.0,427.47000000000025,,,,,-3848370000.0,-87119832600.00029,False,False
46,2008-11-20,7995.53,8187.4,7506.97,7552.29,7552.29,528130000.0,-0.0556426685072924,-1.827638905862643,0.0,3.0,0.0,8777.894333333334,9389.577659574468,9389.577659574468,,,,,,0.0,444.9899999999998,,,,,-4376500000.0,-155742896349.99976,False,False
47,2008-11-21,7552.37,8071.75,7449.38,8046.42,8046.42,569010000.0,0.0654278371196022,-1.3313809694536598,1.0,2.0,0.0,8764.402,9361.595208333334,9361.595208333334,,,,,,494.1300000000001,0.0,,,,,-3807490000.0,162654353549.99976,True,True
